index,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-09-08 09:00:00+00:00,540.4285714,256.71,0,23.88571429,283.935867,20.29159903,1,24.9
2025-09-08 10:00:00+00:00,490.0,251.8068182,0,24.0,339.6635313,20.41309524,1,24.9
2025-09-08 11:00:00+00:00,506.4944444,248.66,0,24.0,636.6766818,21.39933333,1,24.9
2025-09-08 12:00:00+00:00,521.08,245.1368421,0,24.07263158,606.8587193,22.38458333,1,24.9
2025-09-08 13:00:00+00:00,610.2,237.05,0,24.585,547.7114345,20.74833333,1,24.9
2025-09-08 14:00:00+00:00,512.0,246.0,0,24.6,474.4264784,20.98266667,1,24.9
2025-09-08 15:00:00+00:00,477.1,53.23371795,0,25.78857143,344.2049167,21.339,1,24.9
2025-09-08 16:00:00+00:00,456.0,52.45006993,0,26.4,205.4585616,20.98,1,24.8
2025-09-08 17:00:00+00:00,448.8634921,53.32142857,0,26.6,66.90307143,20.65171429,1,24.8
2025-09-08 18:00:00+00:00,452.2857143,50.53214286,0,26.28662857,0.590038647,20.06897436,1,24.8
2025-09-08 19:00:00+00:00,455.8174603,53.75578947,0,25.8,0.0,20.13711111,1,24.8
2025-09-08 20:00:00+00:00,446.787013,0.0,0,25.6,0.0,17.08833333,1,24.8
2025-09-08 21:00:00+00:00,443.0,0.0,0,25.5,0.0,16.97,1,24.872
2025-09-08 22:00:00+00:00,452.9911765,112.9263403,0,25.08151515,0.0,17.45833333,1,24.9
2025-09-08 23:00:00+00:00,469.9406593,251.1649928,0,24.6,0.0,16.66872727,1,24.9
2025-09-09 00:00:00+00:00,465.1415385,246.8741986,0,24.20989899,0.0,17.0855,1,24.8
2025-09-09 01:00:00+00:00,467.0,250.183165,0,23.81333333,0.0,17.19365801,1,24.8
2025-09-09 02:00:00+00:00,471.4809524,248.7675585,0,23.6,0.0,17.32979021,1,24.8
2025-09-09 03:00:00+00:00,475.2857143,164.6461538,0,23.4,0.0,16.87605714,1,24.7
2025-09-09 04:00:00+00:00,474.1,53.09210526,0,23.5,0.0,17.6,1,24.7
2025-09-09 05:00:00+00:00,479.6933333,217.0,0,23.6,10.03750682,18.39,1,24.7
2025-09-09 06:00:00+00:00,507.4304762,240.7022857,0,23.3488,18.43805385,17.1,1,24.7
2025-09-09 07:00:00+00:00,657.2020202,250.5068427,0,24.01192951,124.8239795,19.19275,1,24.7
2025-09-09 08:00:00+00:00,656.8449198,251.2888889,0,24.4,139.5326413,20.17454545,1,24.7
2025-09-09 09:00:00+00:00,560.0507692,250.3662338,0,24.3,160.402381,20.67460317,1,24.7
2025-09-09 10:00:00+00:00,497.3799145,251.740765,0,23.81043478,358.8483211,22.08,1,24.7
2025-09-09 11:00:00+00:00,617.2,243.2727273,0,24.615,169.3992727,21.625,1,24.7
2025-09-09 12:00:00+00:00,504.7414286,252.3495652,0,24.2,421.8610316,22.73652727,1,24.7
2025-09-09 13:00:00+00:00,473.5076923,253.2291667,0,24.0,528.9579167,22.7,1,24.8
2025-09-09 14:00:00+00:00,691.6266667,207.2571429,0,24.87882353,398.6865172,22.94475,1,24.8
2025-09-09 15:00:00+00:00,735.0666667,81.43076923,0,25.72,302.0102412,22.22,1,24.8
2025-09-09 16:00:00+00:00,450.7288445,49.10909091,0,25.9,149.5511234,22.03428571,1,24.8
2025-09-09 17:00:00+00:00,446.4056277,49.3944905,0,25.83051515,20.98558862,21.63555,1,24.8
2025-09-09 18:00:00+00:00,441.4,50.0,0,25.5,0.325516114,20.61676364,1,24.8
2025-09-09 19:00:00+00:00,440.0,38.34782609,0,25.2,0.0,19.8025,1,24.8
2025-09-09 20:00:00+00:00,436.1333333,0.0,0,25.1,0.0,18.05827692,1,24.9
2025-09-09 21:00:00+00:00,435.48,0.0,0,25.1,0.0,17.494,1,25.0
2025-09-09 22:00:00+00:00,444.1714286,48.30769231,0,24.54571429,0.0,17.326,1,25.0
2025-09-09 23:00:00+00:00,448.0,48.33333333,0,24.55030688,0.0,17.57333333,1,25.0
2025-09-10 00:00:00+00:00,447.3272727,48.0,0,24.3,0.0,17.53555556,1,25.0
2025-09-10 01:00:00+00:00,445.1636364,47.54545455,0,24.3,0.0,17.4844,1,25.0
2025-09-10 02:00:00+00:00,444.3063492,50.64727273,0,24.1,0.0,18.04,1,25.0
2025-09-10 03:00:00+00:00,441.0266667,43.175,0,24.0,0.0,17.93026263,1,25.0
2025-09-10 04:00:00+00:00,437.9833333,54.53545455,0,24.1,0.0,18.51714286,1,25.0
2025-09-10 05:00:00+00:00,444.9732143,250.0125,0,23.98680702,16.26635,18.863,1,25.0
2025-09-10 06:00:00+00:00,449.3060897,252.1691138,0,23.73055756,120.2604815,20.20365385,1,24.9
2025-09-10 07:00:00+00:00,469.7662338,251.2221154,0,23.76192308,237.0966389,20.61398077,1,24.9
2025-09-10 08:00:00+00:00,569.7343653,250.6893508,0,24.3,190.7661723,20.79428571,1,24.9
2025-09-10 09:00:00+00:00,578.316165,255.8472301,0,24.40526667,266.8036115,21.54222222,1,24.9
2025-09-10 10:00:00+00:00,555.4633455,247.9409883,0,24.5,196.6883881,22.15142857,1,24.9
2025-09-10 11:00:00+00:00,597.4030769,252.1081489,0,24.56904322,200.6123144,22.17228571,1,24.9
2025-09-10 12:00:00+00:00,652.1052632,249.0970022,0,25.00587572,253.0907948,21.80313725,1,24.9
2025-09-10 13:00:00+00:00,616.6888889,245.6080299,0,25.0,226.175761,21.02285714,1,24.9
2025-09-10 14:00:00+00:00,501.45,169.3059524,0,24.57391304,48.8025087,20.06,1,24.9
2025-09-10 15:00:00+00:00,460.025,47.92986175,0,24.40637205,77.78236163,19.09356643,1,24.9
2025-09-10 16:00:00+00:00,455.6914286,52.76923077,0,24.31802198,19.35707879,19.273,1,25.0
2025-09-10 17:00:00+00:00,453.0,52.11428571,0,24.2,4.700479437,19.8055,1,25.0
2025-09-10 18:00:00+00:00,441.2540404,53.16855835,0,24.1932,0.011111111,19.75039394,1,25.0
2025-09-10 19:00:00+00:00,436.956044,47.75451062,0,24.00358108,0.0,19.69834965,1,25.0
2025-09-10 20:00:00+00:00,430.2,0.0,0,24.2,0.0,18.80171429,1,25.0
2025-09-10 21:00:00+00:00,426.0714286,0.0,0,24.2,0.0,17.9055,1,25.0
2025-09-10 22:00:00+00:00,424.18,0.0,0,24.1,0.0,17.608,1,25.1
2025-09-10 23:00:00+00:00,423.0,0.0,0,24.2,0.0,17.81660714,1,25.2
2025-09-11 00:00:00+00:00,420.8451282,0.0,0,24.2,0.0,17.6983,1,25.2
2025-09-11 01:00:00+00:00,420.805,0.0,0,24.2,0.0,16.9,1,25.2
2025-09-11 02:00:00+00:00,419.8285714,0.0,0,24.2,0.0,16.72672727,1,25.2
2025-09-11 03:00:00+00:00,419.69,6.4,0,24.0,0.0,16.59163462,1,25.2
2025-09-11 04:00:00+00:00,435.8444444,55.03303571,0,23.9,0.0,17.25782115,1,25.2
2025-09-11 05:00:00+00:00,448.7690909,248.0614737,0,23.72720648,5.373642105,15.178,1,25.2
2025-09-11 06:00:00+00:00,468.2135531,246.9502646,0,23.6,50.95732554,15.4,1,25.0
2025-09-11 07:00:00+00:00,519.0384615,248.0277778,0,23.6,125.7072776,15.85681818,1,25.0
2025-09-11 08:00:00+00:00,538.4380952,249.3263158,0,23.897,97.11672412,17.46,1,25.0
2025-09-11 09:00:00+00:00,529.0,261.0,0,23.9,536.2613846,18.8344,1,25.0
2025-09-11 10:00:00+00:00,499.8440476,249.94,0,23.7,558.4154606,20.52,1,25.0
2025-09-11 11:00:00+00:00,554.3330592,247.0358621,0,24.0,582.2483853,20.20279412,1,24.9
2025-09-11 12:00:00+00:00,537.556746,245.0292929,0,23.92203209,354.3559538,21.791,1,24.8
2025-09-11 13:00:00+00:00,491.2355556,251.92,0,23.90190476,674.611161,21.12639286,1,24.8
2025-09-11 14:00:00+00:00,475.5777778,248.7454545,0,23.9,174.838703,20.43114286,1,24.8
2025-09-11 15:00:00+00:00,460.7693452,107.5441176,0,23.72727273,154.4353971,19.31349432,1,24.8
2025-09-11 16:00:00+00:00,457.2935065,54.03571429,0,24.6,163.2163469,19.76246795,1,24.8
2025-09-11 17:00:00+00:00,449.5,52.96780303,0,24.6,12.94371504,18.71178571,1,24.8
2025-09-11 18:00:00+00:00,441.3666667,52.83157895,0,24.7,0.008421053,17.52641558,1,24.8
2025-09-11 19:00:00+00:00,436.8392857,26.23529412,0,24.6,0.0,17.1409375,1,24.8
2025-09-11 20:00:00+00:00,435.4,0.0,0,24.5,0.0,16.28,1,24.9
2025-09-11 21:00:00+00:00,432.4285714,0.0,0,24.4,0.0,14.73083333,1,25.0
2025-09-11 22:00:00+00:00,430.96,0.0,0,24.3,0.0,14.57666667,1,25.0
2025-09-11 23:00:00+00:00,430.0166667,0.0,0,24.1,0.0,14.19833333,1,25.0
