,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-09-25 15:50:00+00:00,4.0454,7616.82
2025-09-25 15:55:00+00:00,3.963866667,7421.901091
2025-09-25 16:00:00+00:00,3.859761905,7524.292831
2025-09-25 16:05:00+00:00,4.078537037,7558.659857
2025-09-25 16:10:00+00:00,4.068973684,7311.751857
2025-09-25 16:15:00+00:00,4.013525926,7423.897167
2025-09-25 16:20:00+00:00,3.998863636,7497.515
2025-09-25 16:25:00+00:00,4.088666667,7479.714
2025-09-25 16:30:00+00:00,4.203589076,7471.33
2025-09-25 16:35:00+00:00,4.1212,7471.33
2025-09-25 16:40:00+00:00,4.1,7471.33
2025-09-25 16:45:00+00:00,4.128545455,7632.142
2025-09-25 16:50:00+00:00,4.103749251,7739.35
2025-09-25 16:55:00+00:00,4.071611111,7739.35
2025-09-25 17:00:00+00:00,4.041669264,7730.489714
2025-09-25 17:05:00+00:00,4.263399267,7545.172
2025-09-25 17:10:00+00:00,4.056051282,7719.07
2025-09-25 17:15:00+00:00,4.043294118,7719.07
2025-09-25 17:20:00+00:00,4.041,7719.07
2025-09-25 17:25:00+00:00,3.819555556,7719.07
2025-09-25 17:30:00+00:00,4.169558824,7697.8675
2025-09-25 17:35:00+00:00,4.305688889,7507.96725
2025-09-25 17:40:00+00:00,3.987620513,7969.990462
2025-09-25 17:45:00+00:00,3.784015385,7678.33
2025-09-25 17:50:00+00:00,4.155802372,7678.33
2025-09-25 17:55:00+00:00,4.190404762,7678.33
2025-09-25 18:00:00+00:00,4.079818182,7734.484
2025-09-25 18:05:00+00:00,3.881777591,7959.1
2025-09-25 18:10:00+00:00,3.78,7959.1
2025-09-25 18:15:00+00:00,4.142725236,7546.876302
2025-09-25 18:20:00+00:00,4.169166667,7657.88
2025-09-25 18:25:00+00:00,4.052899522,7657.88
2025-09-25 18:30:00+00:00,3.976,7407.04
2025-09-25 18:35:00+00:00,4.446494118,7305.962045
2025-09-25 18:40:00+00:00,4.029647157,7566.451256
2025-09-25 18:45:00+00:00,4.007496894,7604.454
2025-09-25 18:50:00+00:00,4.070654971,7376.808908
2025-09-25 18:55:00+00:00,4.030748054,7280
2025-09-25 19:00:00+00:00,3.654558692,6819.056653
2025-09-25 19:05:00+00:00,3.249794931,5720.814815
2025-09-25 19:10:00+00:00,2.929333548,4864.159436
